combo_label,M,seed_idx,organo_id,edep_J,s1_j,s2_j2,n,se_run_j,se_run_total_j
SEP_p_max_0,10000,1,76,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,77,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,78,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,79,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,80,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,81,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,82,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,83,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,84,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,85,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,86,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,87,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,88,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,89,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,90,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,91,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,92,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,93,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,94,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,95,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,96,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,97,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,98,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,99,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,100,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,101,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,102,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,103,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,104,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,105,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,106,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,107,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,108,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,109,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,110,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,111,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,112,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,113,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,114,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,115,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,116,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,117,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,118,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,119,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,120,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,121,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,122,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,123,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,124,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,125,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,126,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,127,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,128,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,129,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,130,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,131,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,132,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,133,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,134,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,135,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,136,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,137,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,138,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,139,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,140,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,1,141,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,0,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,1,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,2,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,3,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,4,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,5,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,6,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,7,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,8,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,9,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,10,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,11,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,12,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,13,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,14,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,15,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,16,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,17,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,18,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,19,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,20,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,21,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,22,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,23,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,24,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,25,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,26,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,27,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,28,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,29,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,30,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,31,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,32,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,33,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,34,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,35,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,36,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,37,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,38,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,39,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,40,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,41,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,42,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,43,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,44,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,45,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,46,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,47,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,48,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,49,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,50,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,51,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,52,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,53,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,54,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,55,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,56,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,57,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,58,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,59,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,60,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,61,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,62,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,63,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,64,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,65,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,66,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,67,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,68,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,69,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,70,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,71,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,72,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,73,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,74,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,75,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,76,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,77,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,78,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,79,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,80,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,81,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,82,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,83,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,84,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,85,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,86,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,87,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,88,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,89,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,90,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,91,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,92,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,93,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,94,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,95,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,96,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,97,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,98,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,99,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,100,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,101,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,102,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,103,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,104,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,105,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,106,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,107,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,108,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,109,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,110,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,111,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,112,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,113,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,114,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,115,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,116,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,117,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,118,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,119,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,120,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,121,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,122,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,123,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,124,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,125,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,126,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,127,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,128,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,129,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,130,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,131,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,132,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,133,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,134,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,135,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,136,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,137,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,138,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,139,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,140,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,10000,2,141,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,0,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,1,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,2,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,3,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,4,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,5,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,6,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,7,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,8,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,9,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,10,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,11,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,12,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,13,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,14,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,15,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,16,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,17,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,18,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,19,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,20,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,21,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,22,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,23,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,24,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,25,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,26,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,27,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,28,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,29,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,30,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,31,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,32,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,33,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,34,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,35,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,36,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,37,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,38,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,39,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,40,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,41,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,42,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,43,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,44,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,45,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,46,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,47,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,48,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,49,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,50,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,51,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,52,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,53,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,54,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,55,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,56,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,57,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,58,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,59,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,60,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,61,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,62,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,63,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,64,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,65,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,66,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,67,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,68,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,69,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,70,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,71,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,72,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,73,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,74,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,75,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,76,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,77,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,78,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,79,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,80,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,81,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,82,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,83,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,84,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,85,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,86,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,87,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,88,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,89,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,90,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,91,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,92,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,93,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,94,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,95,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,96,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,97,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,98,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,99,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,100,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,101,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,102,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,103,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,104,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,105,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,106,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,107,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,108,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,109,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,110,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,111,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,112,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,113,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,114,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,115,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,116,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,117,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,118,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,119,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,120,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,121,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,122,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,123,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,124,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,125,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,126,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,127,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,128,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,129,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,130,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,131,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,132,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,133,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,134,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,135,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,136,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,137,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,138,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,139,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,140,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,0,141,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,0,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,1,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,2,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,3,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,4,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,5,0.0,0.0,0.0,0,0.0,0.0
SEP_p_max_0,20000,1,6,0.0,0.0,0.0,0,0.0,0.0
